Director,Year,Title,Country,Length,Genre,Col
"Amaral, Tata",1991,Viver a Vida,Brazil,10,Short,Col
"Amelio, Gianni",1992,"Stolen Children, The/Il Ladro di bambini",Italy-France,112,Drama,Col
"Amelio, Gianni",1994,Lamerica,France-Italy,111,Drama,Col
"Amenabar, Alejandro",1996,Thesis/Tesis,Spain,125,Thriller-Horror-Drama,Col
"Amenabar, Alejandro",1997,Open Your Eyes,Spain-France-Italy,119,Science Fiction-Drama-Romance,Col
"Amenabar, Alejandro",2001,"Others, The",Spain-US,100,Thriller-Horror,Col
"Amenabar, Alejandro",2004,"Sea Inside, The/Mar adentro",Spain-France-Italy,125,Drama,Col
"Ameris, Jean-Pierre",1999,Mauvaises frequentations,France,98,Drama-Romance,Col
"Ames, Alfred & Howard Kahn",1930,From Stump to Ship,US,30,Documentary-Short,BW
"Amiel, Jon",1986,"Singing Detective, The ",Australia-UK,415,Drama-Musical-Mystery,Col
"Amiel, Jon",1989,Queen of Hearts,UK,112,Romance-Comedy,Col
"Amiel, Jon",2003,"Core, The",US-Germany-Canada,135,Action-Adventure-Science Fiction,Col
"Amirkulov, Ardak",1991,"Fall of Otrar, The",USSR-Kazakhstan,176,Drama,Col
"Amodeo, Rachel",1993,What About Me,US,87,Drama,BW
"Amrohi, Kamal",1953,Daera,India,139,Drama,---
"Amrohi, Kamal",1972,Pakeezah,India,150,Drama,Col
"Anand, Mukul",1992,God is My Witness,India,193,Action-Adventure-Drama,Col
"Anand, Vijay",1965,Guide,India,183,Drama-Musical-Romance,---
"Anand, Vijay",1966,Teesri Manzil,India,172,Comedy-Musical-Mystery,Col
"Anders, Allison",1991,Gas Food Lodging,US,101,Drama,Col
"Anders, Allison",1993,Mi Vida Loca/My Crazy Life,US,92,Drama,Col
"Anders, Allison",1996,Grace of My Heart,US,120,Musical-Drama,Col
"Andersen, Thom",1974,"Eadweard Muybridge, Zoopraxographer",US,59,---,Col
"Andersen, Thom",2003,Los Angeles Plays Itself,US,169,Documentary,Col
"Anderson, Brad",2001,Session 9,US,97,Horror-Thriller-Drama,Col
"Anderson, Brad",2003,"Machinist, The",Spain,102,Thriller-Drama-Mystery,Col
"Anderson, Jane",2005,"Prize Winner of Defiance, Ohio, The",US,99,Biography-Drama,Col
"Anderson, Laurie",1986,Home of the Brave,US,90,Musical,Col
"Anderson, Lindsay",1953,"Dreamland, O",UK,11,Comedy-Documentary,BW
"Anderson, Lindsay",1963,This Sporting Life,UK,129,Sports-Drama,BW
"Anderson, Lindsay",1968,if…,UK,111,Drama,Col-BW
"Anderson, Lindsay",1973,O Lucky Man!,UK,173,Fantasy-Drama-Comedy,Col
"Anderson, Lindsay",1982,Britannia Hospital,UK,115,Drama-Comedy,Col
"Anderson, Lindsay",1987,"Whales of August, The",US,90,Drama,Col
"Anderson, Lindsay & Piotr Szulkin",1967,"Singing Lesson, The",Poland-UK,27,Documentary-Short,BW
"Anderson, Madeline",1970,I Am Somebody,US,28,Short-Documentary,Col
"Anderson, Michael",1954,"Dam Busters, The",UK,102,War-Action-Drama,BW
"Anderson, Michael",1956,Around the World in 80 Days,US,167,Adventure-Comedy-Family,Col
"Anderson, Michael",1965,Operation Crossbow,US,116,War-Action-Drama,Col
"Anderson, Michael",1966,"Quiller Memorandum, The",UK,105,Spy-Mystery-Thriller,Col
"Anderson, Michael",1975,Doc Savage: The Man of Bronze,US,100,Science Fiction-Action,Col
